building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
"Eaton Socon, Great Hockham, Oldham & Gex",Ringing Room,UK & France,1,,none,,Virtual ringing platform or dispersed locations
St John in Bedwardine,Worcester,Worcestershire,1,13277,high,11299;11249;10704;12050;12921;12643;24996;24997;24998;24999,Resolved dedication 'S John in Bedwardine' (Worcester) among 14 towers in town
Little Creed Cottage,Bosham,Sussex,1,,none,,Private residence name (handbell ring)
St Peter,"Buxton, Fairfield",Derbyshire,1,11560,high,,"Resolved via suburb/parish 'Fairfield' in town name (Fairfield, S Peter)"
"Vernet-les-Bains, Norwich, Wetton & Great Hockham",Ringing Room,UK & France,1,,none,,Virtual ringing platform or dispersed locations
St James,"Sheffield, Norton",South Yorkshire,1,13662,high,,"Resolved via suburb/parish 'Norton' in town name (Norton, S Mary)"
The Romanby Green Campanile,Romanby,North Yorkshire,1,25241,high,23061,Resolved dedication 'Romanby Green Campanile' (Romanby) among 2 towers in town
,Lye,,1,16069,high,,"Fuzzy place match (Lye -> Lye, The, West Midlands)"
,Gilmorton,,1,17131,high,,Unique tower in Gilmorton (Leicestershire); building unspecified in source
,East Budleigh,,1,12007,high,,Unique tower in East Budleigh (Devon); building unspecified in source
,Halesowen,,1,16876,high,,Unique tower in Halesowen (West Midlands); building unspecified in source
St George,Hyde,Cheshire,1,12128,high,21140,Resolved dedication 'S George' (Hyde) among 2 towers in town
St Andrew's,Pershore Parish Centre,Worcestershire,1,,none,,No matching tower found for 'Pershore Parish Centre' in Dove register
St Gregory the Great,Morville,Shropshire,1,15945,high,,Unique tower in Morville; dedication 'S Gregory' matches 'St Gregory the Great'
,Crowle,,1,11843,medium,10863,Partial dedication match for 'S Oswald' among 2 towers in town
,Buckfastleigh,,1,11599,medium,18770,Partial dedication match for 'Ruined ch of Holy Trinity' among 2 towers in town
St Andrew,Orwell,Cambridgeshire,1,11133,high,,Unique tower in Orwell; dedication 'S Andrew' matches 'St Andrew'
,Broughton,Staffs,1,11521,high,,Unique tower in Broughton (Staffordshire); building unspecified in source
St Mary,Aldridge,West Midlands,1,15282,high,,Unique tower in Aldridge; dedication 'S Mary V' matches 'St Mary'
St John the Baptist,Shedfield,Hampshire,1,10875,high,,Unique tower in Shedfield; dedication 'S John Bapt' matches 'St John the Baptist'
St Michael AA,Haselbech,Northamptonshire,1,15424,high,,Unique tower in Haselbech; dedication 'S Michael' matches 'St Michael AA'
Holy Cross,Ryton,Tyne & Wear,1,,none,,No matching tower found for 'Ryton' in Dove register
St Chad,Burton-upon-Trent,,1,17100,high,17025;11225;15964;12886;11605;25377,Resolved dedication 'S Chad' (Burton upon Trent) among 7 towers in town
St Michael & All Angels,Headingley,West Yorkshire,1,16033,high,,Unique tower in Headingley; dedication 'S Michael & All Angels' matches 'St Michael & All Angels'
,Hadlow,,1,10073,high,,Unique tower in Hadlow (Kent); building unspecified in source
"Brighton, Norwich, Oldham & Wetton",Ringing Room,UK,1,,none,,Virtual ringing platform or dispersed locations
St Mary,Bampton,Oxfordshire,1,12367,high,,Unique tower in Bampton; dedication 'S Mary' matches 'St Mary'
St John the Baptist,Weston Super Mare,North Somerset,1,12821,high,24672;24673;24674;24675;24676;12495,Resolved dedication 'S John Bapt' (Weston super Mare) among 7 towers in town
,Castle Cary,,1,14540,high,,Unique tower in Castle Cary (Somerset); building unspecified in source
St Peter and St Paul,Harlington,Middlesex,1,10679,high,,Unique tower in Harlington; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
,Luppitt,,1,16554,high,,Unique tower in Luppitt (Devon); building unspecified in source
,Wellington,Somerset,1,10049,medium,15613,Partial dedication match for 'All Saints' among 2 towers in town
St James,East Crompton,Greater Manchester,1,14199,high,,Unique tower in East Crompton; dedication 'S James' matches 'St James'
St Michael,Kirby-le-Soken,Essex,1,16560,high,,Unique tower in Kirby le Soken; dedication 'S Michael' matches 'St Michael'
St Mark,Englefield,Berkshire,1,10325,high,,Unique tower in Englefield; dedication 'S Mark' matches 'St Mark'
,Kenwyn,,1,11209,high,,Unique tower in Kenwyn (Cornwall); building unspecified in source
,Towednack,,1,14661,high,,Unique tower in Towednack (Cornwall); building unspecified in source
St Mary the Virgin,Ringmer,East Sussex,1,10594,high,,Unique tower in Ringmer; dedication 'S Mary V' matches 'St Mary the Virgin'
St Thomas,Moorside (Oldham),Lancashire,1,,none,,No matching tower found for 'Moorside (Oldham)' in Dove register
St Thomas,"Oldham, Moorside",Lancashire,1,,none,,"No matching tower found for 'Oldham, Moorside' in Dove register"
St Thomas of Canterbury,Salisbury,Wiltshire,1,13300,high,11574;13094;12908;23153,Resolved dedication 'S Thomas of Canterbury' (Salisbury) among 5 towers in town
,Aldeburgh,,1,17039,high,,Unique tower in Aldeburgh (Suffolk); building unspecified in source
,Gaddesby,,1,14998,high,,Unique tower in Gaddesby (Leicestershire); building unspecified in source
St Mary,Broughton Astley,Leicestershire,1,13152,high,,Unique tower in Broughton Astley; dedication 'S Mary' matches 'St Mary'
St Peter,North Tawton,Devon,1,11109,high,,Unique tower in North Tawton; dedication 'S Peter' matches 'St Peter'
St Mark,Philadelphia,Pennsylvania,1,16003,high,10173;13478;12483,Resolved dedication 'S Mark' (Philadelphia) among 4 towers in town
SS Mary the Virgin and Mary Magdalen,Tetbury,Gloucestershire,1,15266,medium,24020,Partial dedication match for 'S Mary V & S Mary Magdalen' among 2 towers in town
The Good Shepherd,Augusta,Georgia,1,16381,high,,Unique tower in Augusta; dedication 'The Good Shepherd' matches 'The Good Shepherd'
"Holy Trinity, West Hill",Wandsworth,SW 15,1,,none,,No matching tower found for 'Wandsworth' in Dove register
St Peter,West Bridgford,Nottinghamshire,1,11771,medium,24556,Partial dedication match for 'S Giles' among 2 towers in town
SS Philip & James,Holywood,"County Down, Northern Ireland",1,13444,high,,Unique tower in Holywood; dedication 'S Philip & S James' matches 'SS Philip & James'
St John the Baptist,Tunstall,Kent,1,12317,high,,Unique tower in Tunstall; dedication 'S John Bapt' matches 'St John the Baptist'
The Victoria Tower ( formerly St Mary the Virgin),Chatham,Kent,1,19083,medium,,"Sole ringing tower in Chatham, but dedication 'S John Div' differs from source 'The Victoria Tower ( formerly St Mary the Virgin)'"
St Mary the Virgin,Bishop's Lydeard,Somerset,1,,none,,No matching tower found for 'Bishop's Lydeard' in Dove register
St Mary,Silverton,Devon,1,13709,high,,Unique tower in Silverton; dedication 'S Mary' matches 'St Mary'
All Saints,Darfield,South Yorkshire,1,12218,high,,Unique tower in Darfield; dedication 'All Saints' matches 'All Saints'
St John the Evangelist,Scunthorpe,Lincolnshire,1,,none,10603;23231;23232;16547,Unresolved: 'St John the Evangelist' did not match any of the 4 towers in Scunthorpe
St Michael,Whichford,Warwickshire,1,16949,high,,Unique tower in Whichford; dedication 'S Michael' matches 'St Michael'
St Nicholas,Warwick,Warwicks,1,15025,high,11519;24458,Resolved dedication 'S Nicholas' (Warwick) among 3 towers in town
Cathedral of the Holy and Undivided Trinity,Bristol,Bristol,1,10300,high,10331;15455;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Cath Ch of Holy & Undivided Trinity' (Bristol) among 17 towers in town
BVM & St Peter,Winford,Somerset,1,16520,high,,Unique tower in Winford; dedication 'BVM & S Peter' matches 'BVM & St Peter'
St Thomas,Pendleton,Lancashire,1,16797,high,23148;22708,Resolved dedication 'S Thomas' (Pendleton) among 3 towers in town
St Lawrence,Church Stretton,Shropshire,1,15184,high,,Unique tower in Church Stretton; dedication 'S Laurence' matches 'St Lawrence'
,Frensham,,1,10379,high,,Unique tower in Frensham (Surrey); building unspecified in source
St Mary & All Saints,Beaconsfield,Buckinghamshire,1,13441,high,18204,Resolved dedication 'S Mary & All Saints' (Beaconsfield) among 2 towers in town
All Saints,Sutton Courtenay,Oxfordshire,1,15735,high,,Unique tower in Sutton Courtenay; dedication 'All Saints' matches 'All Saints'
Harper Avenue,Radlett,"Hertfordshire, Ashmere",1,,none,,Private residence name (handbell ring)
St Michael,Stoney Stanton,Leicestershire,1,14037,high,,Unique tower in Stoney Stanton; dedication 'S Michael' matches 'St Michael'
,Netherseale,,1,,none,,No matching tower found for 'Netherseale' in Dove register
St Margaret,Rainham,Kent,1,16735,high,,Unique tower in Rainham; dedication 'S Margaret' matches 'St Margaret'
St Peter,Old Woking,Surrey,1,15923,high,,Unique tower in Old Woking; dedication 'S Peter' matches 'St Peter'
All Saints,Clifton,Bedfordshire,1,14960,high,,Unique tower in Clifton; dedication 'All Saints' matches 'All Saints'
St John the Baptist,Danbury,Essex,1,16524,high,,Unique tower in Danbury; dedication 'S John Bapt' matches 'St John the Baptist'
St Andrew,"Dudley, Netherton",West Midlands,1,15501,high,,"Resolved via suburb/parish 'Netherton' in town name (Netherton, S Andrew)"
St James,Turramurra,New South Wales,1,15074,high,,Unique tower in Turramurra; dedication 'S James' matches 'St James'
,Newton St Cyres,,1,13353,high,,Unique tower in Newton St Cyres (Devon); building unspecified in source
St Lawrence,Downton,Wiltshire,1,15953,high,,Unique tower in Downton; dedication 'S Lawrence' matches 'St Lawrence'
,Skipton,,1,23418,high,,Unique tower in Skipton (North Yorkshire); building unspecified in source
,Kirton in Lindsey,,1,13723,high,,Unique tower in Kirton in Lindsey (Lincolnshire); building unspecified in source
St Anne's Cathedral (RC),Leeds,West Yorkshire,1,11425,high,15978;13165;21524;21525;21526;21527;21531;25533;10218;14977,Resolved dedication 'Cath Ch of S Anne' (Leeds) among 27 towers in town
St Michael and All Angels,Headingley,West Yorkshire,1,16033,high,,Unique tower in Headingley; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
,Rudgwick,,1,15186,high,,Unique tower in Rudgwick (West Sussex); building unspecified in source
"Campana Lodge, 96 Baxter Run Road",Clarington,Pennsylvania,1,,none,,Private residence name (handbell ring)
St Cybi,Llangybi,Gwent,1,12355,high,,Unique tower in Llangybi; dedication 'S Cybi' matches 'St Cybi'
Blessed Virgin Mary & St Peter,Winford,Somerset,1,16520,high,,Unique tower in Winford; dedication 'BVM & S Peter' matches 'Blessed Virgin Mary & St Peter'
St Mary,Charlton Kings,Gloucestershire,1,15388,high,19074,Resolved dedication 'S Mary' (Charlton Kings) among 2 towers in town
St Tudor,Mynyddislwyn,Gwent,1,13414,high,,Unique tower in Mynyddislwyn; dedication 'S Tudor' matches 'St Tudor'
"Knowle, Holy Trinity",Bristol,Bristol,1,,none,10300;10331;15455;14342;11615;14422;12166;15180;12993;12039,"Unresolved: 'Knowle, Holy Trinity' did not match any of the 17 towers in Bristol"
All Saints & St Bartholomew,Wootton Bassett,Wiltshire,1,16050,high,,Unique tower in Royal Wootton Bassett; dedication 'S Bartholomew & All Saints' matches 'All Saints & St Bartholomew'
St Andrew,Congresbury,Somerset,1,10693,high,,Unique tower in Congresbury; dedication 'S Andrew' matches 'St Andrew'
St Michael,Twerton on Avon,Somerset,1,12082,high,25825,Resolved dedication 'S Michael' (Twerton on Avon) among 2 towers in town
St Leonard,Sherfield English,Hampshire,1,11604,high,,Unique tower in Sherfield English; dedication 'S Leonard' matches 'St Leonard'
Buttery Wells Farm,Potterton,Aberdeenshire,1,,none,,Private residence name (handbell ring)
"St Mary, Bow Road",Bow,Greater London,1,13996,high,18547,Resolved dedication 'S Mary' (Bow) among 2 towers in town
St James the Apostle,Somerton,Oxfordshire,1,11413,high,,Unique tower in Somerton; dedication 'S James Ap' matches 'St James the Apostle'
Cathedral of St Canice,Kilkenny,Kilkenny,1,11778,high,,Unique tower in Kilkenny; dedication 'Cath Ch of S Canice' matches 'Cathedral of St Canice'
Bell Meadow Peal,Warnham,West Sussex,1,,none,25269;15727;25663,Unresolved: 'Bell Meadow Peal' did not match any of the 3 towers in Warnham
Christ Church (Old North),Boston,"Massachusetts, United States of America",1,12291,high,11198,Resolved dedication 'Christ Church' (Boston) among 2 towers in town
St Wilfrid,Standish,Lancashire,1,14666,high,,Unique tower in Standish; dedication 'S Wilfrid' matches 'St Wilfrid'
At the Parish Church of St Nicholas,New Romney,Kent,1,15817,high,,Unique tower in New Romney; dedication 'S Nicholas' matches 'At the Parish Church of St Nicholas'
,Headingley,,1,16033,high,,Unique tower in Headingley (West Yorkshire); building unspecified in source
"Christ Church, Douglas",Parbold,Lancashire,1,14091,high,,"Unique tower in Parbold; dedication 'Christ Church' matches 'Christ Church, Douglas'"
,Kildwick,,1,17034,high,,Unique tower in Kildwick (North Yorkshire); building unspecified in source
St Faith,Newton Longville,Buckinghamshire,1,14085,high,,Unique tower in Newton Longville; dedication 'S Faith' matches 'St Faith'
Priory Church of St Mary and St Bega,St Bees,Cumbria,1,10489,high,,Unique tower in St Bees; dedication 'Priory Ch of S Mary & S Bega' matches 'Priory Church of St Mary and St Bega'
St James Gt,Audley,Staffordshire,1,15909,high,,Unique tower in Audley; dedication 'S James Gt' matches 'St James Gt'
All Saints,West Bromwich,West Midlands,1,13138,high,24557;24558;24560;24559,Resolved dedication 'All Saints' (West Bromwich) among 5 towers in town
St James the Great,Dursley,Glos.,1,11104,high,,Unique tower in Dursley; dedication 'S James Gt' matches 'St James the Great'
,Baldock,,1,12185,high,,Unique tower in Baldock (Hertfordshire); building unspecified in source
,Rock,,1,16741,medium,23041;23040,Partial dedication match for 'S Peter & S Paul' among 3 towers in town
St Andrew,Cambridge,Cambridgeshire,1,15139,high,12645;16664;14964;17550;13803;13748;18933;18934;25479;18935,Resolved dedication 'S Andrew Gt' (Cambridge) among 27 towers in town
St Martin's,Ruislip,Greater London,1,16993,high,,Unique tower in Ruislip; dedication 'S Martin' matches 'St Martin's'
St John,Weston-super-Mare,North Somerset,1,12821,high,24672;24673;24674;24675;24676;12495,Resolved dedication 'S John Bapt' (Weston super Mare) among 7 towers in town
St Leonard,Streatham,Surrey,1,,none,,No matching tower found for 'Streatham' in Dove register
St Michael,Sunderland,,1,15838,high,12002;25534,Resolved dedication 'Minster Ch of S Michael & All Angels & S Benedict Biscop' (Sunderland) among 3 towers in town
"Chapel of St Hilda's School , Mosman Park",Perth,Western Australia,1,12726,high,,"Resolved via parish in building 'Mosman Park' (Mosman Park, S Hilda's School Chapel)"
St James Queens Square,Sydney,New South Wales,1,13677,high,16969;15468;13849;14777;11518;10621;12983;13900;11755;16839,Resolved dedication 'S James' (Sydney) among 20 towers in town
"St Mary the Virgin, Deane",Bolton,Greater Manchester,1,11462,high,,"Resolved via parish in building 'Deane' (Deane, S Mary V)"
St Andrew,Kildwick,North Yorkshire,1,17034,high,,Unique tower in Kildwick; dedication 'S Andrew' matches 'St Andrew'
11 St Chad's Drive,"Leeds, Headingley",West Yorkshire,1,,none,,Private residence address (handbell ring)
,Ringing Room,Scotland,1,,none,,Virtual ringing platform or dispersed locations
"Stetson Chapel, Kalamazoo College",Kalamazoo,"Michigan, United States of America",1,11102,high,,"Unique tower in Kalamazoo; dedication 'Stetson Chapel' matches 'Stetson Chapel, Kalamazoo College'"
,Uckfield,,1,13406,high,,Unique tower in Uckfield (East Sussex); building unspecified in source
"Vernet-les-Bains, Wetton, Norwich & Great Hockham",Ringing Room,UK & France,1,,none,,Virtual ringing platform or dispersed locations
Holy Trinity,"Wandsworth, West Hill",Surrey,1,,none,,"No matching tower found for 'Wandsworth, West Hill' in Dove register"
,Walton-le-Dale,,1,12668,high,,Unique tower in Walton le Dale (Lancashire); building unspecified in source
SS Mary and Paul,Rotherhithe,London,1,,none,11431;23072,Unresolved: 'SS Mary and Paul' did not match any of the 2 towers in Rotherhithe
,Romford,,1,15620,medium,23062,Partial dedication match for 'S Edward Conf' among 2 towers in town
St Thomas,"Norbury, Hazel Grove",Greater Manchester,1,11240,high,,"Fuzzy place match (Norbury, Hazel Grove -> Norbury, Greater Manchester)"
St Michael and All Angels,"Headingley, Leeds",West Yorkshire,1,16033,high,,"Fuzzy place match (Headingley, Leeds -> Headingley, West Yorkshire)"
St Nicholas,Chislehurst,Kent,1,,none,,No matching tower found for 'Chislehurst' in Dove register
,Hazel Grove,,1,11240,high,,Unique tower in Norbury (Greater Manchester); building unspecified in source
,Raleigh,,1,10203,high,,Unique tower in Raleigh (North Carolina); building unspecified in source
,Brewster,,1,10265,high,,Unique tower in Brewster (New York); building unspecified in source
St Mary the Virgin,Stratfield Mortimer,Berkshire,1,14457,high,13995,Resolved dedication 'S Mary V' (Stratfield Mortimer) among 2 towers in town
Holy Cross and St Lawrence,Waltham Abbey,Essex,1,10053,high,,Unique tower in Waltham Abbey; dedication 'Holy Cross' matches 'Holy Cross and St Lawrence'
SS Peter & Paul,Sheffield Cathedral,South Yorkshire,1,,none,,No matching tower found for 'Sheffield Cathedral' in Dove register
St Mary,Bletchley,Buckinghamshire,1,12576,high,,Unique tower in Bletchley; dedication 'S Mary' matches 'St Mary'
Cathedral,Vancouver,,1,15376,high,,Unique tower in Vancouver; dedication 'Cath Ch of The Holy Rosary' matches 'Cathedral'
St Mary,"Portsea, Portsmouth",Hampshire,1,17042,high,,"Resolved via suburb/parish 'Portsmouth' in town name (Portsmouth, S Agatha)"
St Lawrence,West Wycombe,Buckinghamshire,1,12842,high,25801,Resolved dedication 'S Lawrence' (West Wycombe) among 2 towers in town
,Belper,,1,16536,medium,18259;18260;18261,Partial dedication match for 'S Peter' among 4 towers in town
,Warborough,,1,13177,high,,Unique tower in Warborough (Oxfordshire); building unspecified in source
St Bartholomew & All Saints,Royal Wootton Bassett,Wiltshire,1,16050,high,,Unique tower in Royal Wootton Bassett; dedication 'S Bartholomew & All Saints' matches 'St Bartholomew & All Saints'
,Drumbo,,1,11938,high,,Unique tower in Ballylesson (Down); building unspecified in source
St Andrew,Enfield,Greater London,1,14416,high,12186;19967;19969;19968,Resolved dedication 'S Andrew' (Enfield) among 5 towers in town
,Buckland-in-the-Moor,,1,15861,high,,Unique tower in Buckland in the Moor (Devon); building unspecified in source
St Mary,Aylesbury,Buckinghamshire,1,15375,high,18054,Resolved dedication 'S Mary' (Aylesbury) among 2 towers in town
St Mary the Virgin,Bampton,Oxfordshire,1,12367,high,,Unique tower in Bampton; dedication 'S Mary' matches 'St Mary the Virgin'
St James Gt,Hanslope,Buckinghamshire,1,11622,high,,Unique tower in Hanslope; dedication 'S James Gt' matches 'St James Gt'
St Mary the Virgin,Godmanchester,Huntingdonshire,1,,none,,No matching tower found for 'Godmanchester' in Dove register
Guy's Hospital (Guy's Tower),Southwark,London,1,,none,16296;12588;23574,Unresolved: 'Guy's Hospital (Guy's Tower)' did not match any of the 3 towers in Southwark
,Pershore Parish Centre,Worcestershire,1,,none,,No matching tower found for 'Pershore Parish Centre' in Dove register
Holy Nativity,"Bristol, Knowle",Bristol,1,15548,high,,"Resolved via suburb/parish 'Knowle' in town name (Knowle, Holy Nativity)"
All SS,Terling,Essex,1,13514,high,,Unique tower in Terling; dedication 'All Saints' matches 'All SS'
St Helen,Benson,Oxfordshire,1,13576,high,,Unique tower in Benson; dedication 'S Helen' matches 'St Helen'
Holy Trinity,Hurstpierpoint,West Sussex,1,14449,high,25498,Resolved dedication 'Holy Trinity' (Hurstpierpoint) among 2 towers in town
St Peter,Portishead,Somerset,1,10069,high,,Unique tower in Portishead; dedication 'S Peter' matches 'St Peter'
St John the Baptist,Fladbury,Worcestershire,1,10084,high,,Unique tower in Fladbury; dedication 'S John Bapt' matches 'St John the Baptist'
St Michael and All Angels,Melksham,Wiltshire,1,10928,high,25338,Resolved dedication 'S Michael & All Angels' (Melksham) among 2 towers in town
St Mary,Eastbourne,East Sussex,1,11691,high,11160;10836;10018;19831;19832;19833;19835;19837,Resolved dedication 'S Mary' (Eastbourne) among 9 towers in town
"Old Woking, St Peter",Woking,Surrey,1,,none,25731;24912;25732;25478;24913,"Unresolved: 'Old Woking, St Peter' did not match any of the 5 towers in Woking"
All saints,Highweek,Devon,1,11556,high,,Unique tower in Highweek; dedication 'All Saints' matches 'All saints'
St Andrew and St George West,Edinburgh,Lothian,1,,none,,No matching tower found for 'Edinburgh' in Dove register
St Andrew,Mells,Somerset,1,16026,high,,Unique tower in Mells; dedication 'S Andrew' matches 'St Andrew'
Cathedral Church of St Mary,Limerick,County Limerick,1,15110,high,16216,Resolved dedication 'Cath Ch of S Mary' (Limerick) among 2 towers in town
St James Garlickhythe,City of London,London,1,16578,high,15228;11081;13868;12429;13028;11914;16634;10471;16020;13189,Resolved dedication 'S James Garlickhythe' (London) among 41 towers in town
Cathedral of St Mark,Shreveport,"Louisiana, USA",1,10716,high,,Unique tower in Shreveport; dedication 'Cath Ch of S Mark' matches 'Cathedral of St Mark'
St Martin,Horsley,Gloucestershire,1,15337,high,,Unique tower in Horsley; dedication 'S Martin' matches 'St Martin'
St Mary,Woodford,Northamptonshire,1,17015,high,,Unique tower in Woodford; dedication 'S Mary V' matches 'St Mary'
Cathedral Church of St German,Peel,Isle of Man,1,15911,high,,Unique tower in Peel; dedication 'Cath Ch of S German' matches 'Cathedral Church of St German'
St Laurence,Frodsham,Cheshire,1,15988,high,,Unique tower in Frodsham; dedication 'S Lawrence' matches 'St Laurence'
Cathedral Church of Holy Trinity,Chichester,West Sussex,1,10237,high,19131;19132;19133;25521,Resolved dedication 'Cath Ch of Holy Trinity' (Chichester) among 5 towers in town
St Mary,Portsmouth,Hampshire,1,16279,high,13220;25238;17042;25536,Resolved dedication 'S Mary' (Portsmouth) among 5 towers in town
St Mary the Virgin,Tewkesbury Abbey,Gloucestershire,1,,none,,No matching tower found for 'Tewkesbury Abbey' in Dove register
All Saints,Waldron,Sussex,1,13864,high,,Unique tower in Waldron; dedication 'All Saints' matches 'All Saints'
Cathedral Church of St Mary the Virgin,Glasgow,,1,13026,high,25544,Resolved dedication 'Cath Ch of S Mary V' (Glasgow) among 2 towers in town
St Leonard,Seaford,Sussex,1,11538,high,,Unique tower in Seaford; dedication 'S Leonard' matches 'St Leonard'
St Mary the Virgin,Childrey,Oxfordshire,1,14183,high,,Unique tower in Childrey; dedication 'S Mary V' matches 'St Mary the Virgin'
St George-in-the-East,Stepney,Greater London,1,17069,high,14988;23768;25672,Resolved dedication 'S George in the East' (Stepney) among 4 towers in town
St Mary,Hadlow,Kent,1,10073,high,,Unique tower in Hadlow; dedication 'S Mary' matches 'St Mary'
St Clement's,Cambridge,Cambridgeshire,1,17550,high,12645;15139;16664;14964;13803;13748;18933;18934;25479;18935,Resolved dedication 'S Clement' (Cambridge) among 27 towers in town
St Hilda's School Chapel,"Mosman Park, Perth",Western Australia,1,12726,high,,"Fuzzy place match (Mosman Park, Perth -> Mosman Park, Western Australia)"
The Pig Sty,Timsbury,Somerset,1,25256,high,16538,Resolved dedication 'Pig Sty' (Timsbury) among 2 towers in town
St Nicholas,King's Lynn,Norfolk,1,10477,high,15688;21313;25298,Resolved dedication 'S Nicholas' (King's Lynn) among 4 towers in town
St Bartholomew,Maresfield,East Sussex,1,13095,high,,Unique tower in Maresfield; dedication 'S Bartholomew' matches 'St Bartholomew'
All Saints,St Ives,Cambridgeshire,1,14667,high,,Unique tower in St Ives; dedication 'All Saints' matches 'All Saints'
St Michael,Brierley Hill,West Midlands,1,10071,high,18722,Resolved dedication 'S Michael' (Brierley Hill) among 2 towers in town
All Saints,East Budleigh,Devon,1,12007,high,,Unique tower in East Budleigh; dedication 'All Saints' matches 'All Saints'
SS Peter and Paul,Cattistock,Dorset,1,12314,high,,Unique tower in Cattistock; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
St Peter,Harborne,West Midlands,1,11706,high,17468,Resolved dedication 'S Peter' (Harborne) among 2 towers in town
St Martin in the Cornmarket,Worcester,,1,10704,high,11299;11249;13277;12050;12921;12643;24996;24997;24998;24999,Resolved dedication 'S Martin in the Cornmarket' (Worcester) among 14 towers in town
St Nicholas,Ashill,Norfolk,1,15024,high,,Unique tower in Ashill; dedication 'S Nicholas' matches 'St Nicholas'
St Gregory,Morville,Shropshire,1,15945,high,,Unique tower in Morville; dedication 'S Gregory' matches 'St Gregory'
Christ Church,Hampstead,Greater London,1,13829,high,20581;20582;20583;20584,Resolved dedication 'Christ Church' (Hampstead) among 5 towers in town
Kent School Chapel,Kent,Connecticut,1,13580,high,,Unique tower in Kent; dedication 'Kent School Chapel' matches 'Kent School Chapel'
"Christ Church, Walcot",Bath,Somerset,1,14089,high,12547;13019;15243;15431;11365;14458;12686;18173;18177;18174,Resolved dedication 'Christ Church' (Bath) among 19 towers in town
,"Ringing Room (Reach, Norwich, Wetton, Great Hockham)",,1,,none,,"No matching tower found for 'Ringing Room (Reach, Norwich, Wetton, Great Hockham)' in Dove register"
Uk,"Ringing Room (Reach, Reach, Norwich, Wetton)",,1,,none,,"No matching tower found for 'Ringing Room (Reach, Reach, Norwich, Wetton)' in Dove register"
Christ Church,"Dore, Sheffield",South Yorkshire,1,15539,high,,"Fuzzy place match (Dore, Sheffield -> Dore, South Yorkshire)"
"St Peter, St Paul, and St Thomas of Canterbury",Bovey Tracey,Devon,1,14690,high,25196;18545,"Resolved dedication 'S Peter, S Paul, & S Thomas of Canterbury' (Bovey Tracey) among 3 towers in town"
St Mary Magdalene,Leintwardine,Herefordshire,1,10054,high,,Unique tower in Leintwardine; dedication 'S Mary Magd' matches 'St Mary Magdalene'
St Michael,Framlingham,Suffolk,1,11728,high,,Unique tower in Framlingham; dedication 'S Michael' matches 'St Michael'
St Mary the Virgin,Kelvedon,Essex,1,11766,high,,Unique tower in Kelvedon; dedication 'S Mary V' matches 'St Mary the Virgin'
St Edward,Stow on the Wold,Gloucestershire,1,16443,high,,Unique tower in Stow on the Wold; dedication 'S Edward' matches 'St Edward'
All Hallows,Gedling,Nottinghamshire,1,11286,high,,Unique tower in Gedling; dedication 'All Hallows' matches 'All Hallows'
St James,Bulkington,Warwickshire,1,16952,high,,Unique tower in Bulkington; dedication 'S James' matches 'St James'
St Mary,Petworth,West Sussex,1,14727,high,,Unique tower in Petworth; dedication 'S Mary' matches 'St Mary'
Wobbly Bob's Campanile,Bovey Tracy,Devon,1,,none,,No matching tower found for 'Bovey Tracy' in Dove register
St Peter and St Paul,Ringwood,Hampshire,1,16719,high,,Unique tower in Ringwood; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
St Jude,Blackburn,Lancashire,1,13874,high,10297;11152;18413;18414;18415;18416,Resolved dedication 'S Jude' (Blackburn) among 7 towers in town
St Swithun,Woodbury,Devon,1,11884,high,,Unique tower in Woodbury; dedication 'S Swithun' matches 'St Swithun'
St Andrew,Bebington,Merseyside,1,11241,high,,Unique tower in Bebington; dedication 'S Andrew' matches 'St Andrew'
All Saints,Gilmorton,Leicestershire,1,17131,high,,Unique tower in Gilmorton; dedication 'All Saints' matches 'All Saints'
St Paul,Daybrook,Nottinghamshire,1,15411,high,,Unique tower in Daybrook; dedication 'S Paul' matches 'St Paul'
Holy Ascension,Settle,North Yorkshire,1,14793,high,,Unique tower in Settle; dedication 'Holy Ascension' matches 'Holy Ascension'
St Silas,Blackburn,Lancashire,1,11152,high,10297;13874;18413;18414;18415;18416,Resolved dedication 'S Silas' (Blackburn) among 7 towers in town
St Mary the Virgin,Monken Hadley,Middlesex,1,11674,high,,Unique tower in Monken Hadley; dedication 'S Mary V' matches 'St Mary the Virgin'
"Great Hockham, Oldham,  Bury St Edmunds & Chelmsford",Ringing Room,UK,1,,none,,Virtual ringing platform or dispersed locations
St Mary the Virgin,Ware,Hertfordshire,1,14966,high,24432,Resolved dedication 'S Mary V' (Ware) among 2 towers in town
St Andrew and St Mary,Condover,Shropshire,1,13075,high,,Unique tower in Condover; dedication 'S Andrew & S Mary' matches 'St Andrew and St Mary'
St Mary,Prior's Norton,Gloucestershire,1,13662,high,,Unique tower in Norton; dedication 'S Mary' matches 'St Mary'
